Symbol,Trade Date,NOCP
ABBV,4/17/2023,161.18
ABBV,4/18/2023,159.59
ABBV,4/19/2023,161.21
ABBV,4/20/2023,161.74
ABBV,4/21/2023,162.41
ABBV,4/24/2023,164.08
ABBV,4/25/2023,164.9
ABBV,4/26/2023,161.8
ABBV,4/27/2023,148.87
ABBV,4/28/2023,151.12
ABBV,5/1/2023,153.71
ABBV,5/2/2023,151.62
ABBV,5/3/2023,149.25
ABBV,5/4/2023,147.36
ABBV,5/5/2023,148.03
ABBV,5/8/2023,147.45
ABBV,5/9/2023,146.83
ABBV,5/10/2023,146.42
ABBV,5/11/2023,146.59
ABBV,5/12/2023,147.15
ABBV,5/15/2023,146.59
ABBV,5/16/2023,143.29
ABBV,5/17/2023,143.35
ABBV,5/18/2023,143.44
ABBV,5/19/2023,145.11
ABBV,5/22/2023,144.9
ABBV,5/23/2023,142.52
ABBV,5/24/2023,141.15
ABBV,5/25/2023,138.62
ABBV,5/26/2023,137.56
ABBV,5/30/2023,136.44
ABBV,5/31/2023,137.96
ABBV,6/1/2023,133.44
ABBV,6/2/2023,136.87
ABBV,6/5/2023,136.86
ABBV,6/6/2023,135.43
ABBV,6/7/2023,136.5
ABBV,6/8/2023,137.64
ABBV,6/9/2023,138.18
ABBV,6/12/2023,137.73
ABBV,6/13/2023,138.31
ABBV,6/14/2023,136.23
ABBV,6/15/2023,135.89
ABBV,6/16/2023,138.64
ABBV,6/20/2023,137.82
ABBV,6/21/2023,136.86
ABBV,6/22/2023,137.41
ABBV,6/23/2023,135.92
ABBV,6/26/2023,134.95
ABBV,6/27/2023,132.6
ABBV,6/28/2023,132.51
ABBV,6/29/2023,133.23
